0 0 0 1.0
0 1 0 1.0
0 2 0 1.0
0 3 0 1.0
0 4 0 1.0
0 5 0 1.0
0 6 0 1.0
0 7 0 1.0
0 8 0 1.0
0 9 0 1.0
0 10 0 1.0
0 11 0 1.0
0 12 0 1.0
0 13 0 1.0
0 14 0 1.0
0 15 0 1.0
1 0 0 1.0
1 1 0 1.0
1 2 0 1.0
1 3 0 1.0
1 4 0 1.0
1 5 0 1.0
1 6 0 1.0
1 7 0 1.0
1 8 0 1.0
1 9 0 1.0
1 10 0 1.0
1 11 0 1.0
1 12 0 1.0
1 13 0 1.0
1 14 0 1.0
1 15 0 1.0
2 0 0 1.0
2 1 0 1.0
2 2 0 1.0
2 3 0 1.0
2 4 0 1.0
2 5 0 1.0
2 6 0 1.0
2 7 0 1.0
2 8 0 1.0
2 9 0 1.0
2 10 0 1.0
2 11 0 1.0
2 12 0 1.0
2 13 0 1.0
2 14 0 1.0
2 15 0 1.0
3 0 0 1.0
3 1 0 1.0
3 2 0 1.0
3 3 0 1.0
3 4 0 1.0
3 5 0 1.0
3 6 0 1.0
3 7 0 1.0
3 8 0 1.0
3 9 0 1.0
3 10 0 1.0
3 11 0 1.0
3 12 0 1.0
3 13 0 1.0
3 14 0 1.0
3 15 0 1.0
4 0 0 1.0
4 1 0 1.0
4 2 0 1.0
4 3 0 1.0
4 4 0 1.0
4 5 0 1.0
4 6 0 1.0
4 7 0 1.0
4 8 0 1.0
4 9 0 1.0
4 10 0 1.0
4 11 0 1.0
4 12 0 1.0
4 13 0 1.0
4 14 0 1.0
4 15 0 1.0
5 0 0 1.0
5 1 0 1.0
5 2 0 1.0
5 3 0 1.0
5 4 0 1.0
5 5 0 1.0
5 6 0 1.0
5 7 0 1.0
5 8 7.25462 1.55609
5 9 0 1.0
5 10 -6.37134 1.26144
5 11 0 1.0
5 12 16.1501 5.00629
5 13 0 1.0
5 14 7.88116 3.30961
5 15 0 1.0
6 0 0 1.0
6 1 0 1.0
6 2 0 1.0
6 3 0 1.0
6 4 0 1.0
6 5 0 1.0
6 6 0 1.0
6 7 0 1.0
6 8 0 1.0
6 9 0 1.0
6 10 0 1.0
6 11 0 1.0
6 12 0 1.0
6 13 0 1.0
6 14 0 1.0
6 15 0 1.0
7 0 0 1.0
7 1 0 1.0
7 2 0 1.0
7 3 0 1.0
7 4 0 1.0
7 5 0 1.0
7 6 0 1.0
7 7 0 1.0
7 8 0 1.0
7 9 0 1.0
7 10 0 1.0
7 11 0 1.0
7 12 0 1.0
7 13 0 1.0
7 14 0 1.0
7 15 0 1.0
8 0 8.65512 1.48863
8 1 6.01418 1.59847
8 2 6.89913 1.52112
8 3 -3.99662 1.07227
8 4 5.25383 1.08328
8 5 -0.684347 1.53767
8 6 8.09737 1.47489
8 7 0.1332222 1.28838
8 8 6.66879 1.03144
8 9 1.7444 1.18802
8 10 0 1.0
8 11 0 1.0
8 12 5.52979 1.41711
8 13 4.36709 1.5155
8 14 0 1.0
8 15 0 1.0
9 0 -5.03122 1.01044
9 1 -0.279277 1.40012
9 2 5.81738 1.43741
9 3 1.85309 1.55481
9 4 9.47146 1.10202
9 5 9.02912 1.46191
9 6 -4.73261 1.23677
9 7 2.96929 1.51245
9 8 0 1.0
9 9 0 1.0
9 10 0 1.0
9 11 0 1.0
9 12 0 1.0
9 13 0 1.0
9 14 0 1.0
9 15 0 1.0
